Year,Municipality,Crop,Mean_Yield
1996,ALEXANDER,ARGENTINE CANOLA,0.7284280973451327
1996,ALEXANDER,BARLEY,1.607
1996,ALEXANDER,CANARYSEED,0.184
1996,ALEXANDER,OATS,1.215
1996,ALEXANDER,POLISH CANOLA,0.278
1996,ALEXANDER,RED SPRING WHEAT,0.9699689708670919
1996,ALONSA,ALFALFA,2.552
1996,ALONSA,ALFALFA/GRASS MIX.,1.609253280839895
1996,ALONSA,BARLEY,1.3847089715536105
1996,ALONSA,OATS,1.039
1996,ALONSA,RED SPRING WHEAT,1.0356480412997267
1996,ARGYLE,ALFALFA,2.080575
1996,ARGYLE,ALFALFA/GRASS MIX.,1.658
1996,ARGYLE,ARGENTINE CANOLA,0.6935734039423359
1996,ARGYLE,BARLEY,1.5078567425329779
1996,ARGYLE,DURUM WHEAT,0.7704183590576766
1996,ARGYLE,FALL RYE,0.799
1996,ARGYLE,FLAX,0.5249553221787113
1996,ARGYLE,OATS,1.0220270744547506
1996,ARGYLE,OIL SUNFLOWERS,0.7354180563542264
1996,ARGYLE,RED SPRING WHEAT,0.9514278472543873
1996,ARMSTRONG,ALFALFA/GRASS MIX.,1.402
1996,ARMSTRONG,OATS,0.903
1996,ARMSTRONG,RED SPRING WHEAT,0.938
1996,BIFROST-RIVERTON,ALFALFA,2.460388484447386
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,1.7766017548135509
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,0.865740972362316
1996,BIFROST-RIVERTON,BARLEY,1.7545401588282847
1996,BIFROST-RIVERTON,CANARYSEED,0.6235704617834394
1996,BIFROST-RIVERTON,EXTRA STRONG WHEAT,1.317276941362916
1996,BIFROST-RIVERTON,FIELD PEAS,1.596
1996,BIFROST-RIVERTON,FLAX,0.55
1996,BIFROST-RIVERTON,GRASSES,1.0987774058577406
1996,BIFROST-RIVERTON,MIXED GRAIN,1.649
1996,BIFROST-RIVERTON,OATS,1.167
1996,BIFROST-RIVERTON,PED. ALFALFA SEED,0.106
1996,BIFROST-RIVERTON,PED. TIMOTHY SEED,0.116
1996,BIFROST-RIVERTON,POLISH CANOLA,0.48033728813559323
1996,BIFROST-RIVERTON,RED SPRING WHEAT,1.2034621687271145
1996,BOISSEVAIN-MORTON,ALFALFA,2.1408221737776394
1996,BOISSEVAIN-MORTON,ALFALFA/GRASS MIX.,1.914
